rank_from_low,rank_from_high,percentile,leadership,id,bioguide_id,state,district,name
55,46,54,0.5353733903939157,400013,B001230,WI,,b'Baldwin'
56,45,55,0.5366753481771491,412200,H001042,HI,,b'Hirono'
57,44,56,0.5379216854214651,400325,P000449,OH,,b'Portman'
58,43,57,0.5401493083842586,412742,S001203,MN,,b'Smith'
59,42,58,0.5475062866682647,400546,T000250,SD,,b'Thune'
60,41,59,0.5493713137345796,412715,R000608,NV,,b'Rosen'
61,40,60,0.5532481048587033,412247,W000802,RI,,b'Whitehouse'
62,39,61,0.5539177186727428,412321,W000805,VA,,b'Warner'
63,38,62,0.5566950242047171,300025,C001035,ME,,b'Collins'
64,37,63,0.5622557662478626,400040,B001236,AR,,b'Boozman'
65,36,64,0.5674958445264671,412428,Y000064,IN,,b'Young'
66,35,65,0.5694879256218031,300100,W000779,OR,,b'Wyden'
67,34,66,0.573943504412557,412251,B001261,WY,,b'Barrasso'
68,33,67,0.5817921507690245,412839,B001310,IN,,b'Braun'
69,32,68,0.5826830656088232,412549,D000618,MT,,b'Daines'
70,31,69,0.589798662338342,400284,M000934,KS,,b'Moran'
71,30,70,0.6121683397152871,412533,D000622,IL,,b'Duckworth'
72,29,71,0.6207361612460165,412325,M001176,OR,,b'Merkley'
73,28,72,0.6246575472585687,300075,M001153,AK,,b'Murkowski'
74,27,73,0.6323327747917901,412495,L000577,UT,,b'Lee'
75,26,74,0.6482027951953258,412582,K000384,VA,,b'Kaine'
76,25,75,0.6582070340641533,412507,S001194,HI,,b'Schatz'
77,24,76,0.6643537717160906,412471,S001184,SC,,b'Scott'
78,23,77,0.6734352878701677,412542,W000817,MA,,b'Warren'
79,22,78,0.6827522701645365,412390,C001088,DE,,b'Coons'
80,21,79,0.6838230753954337,300076,M001111,WA,,b'Murray'
81,20,80,0.687329303063159,412681,C001113,NV,,b'Cortez Masto'
82,19,81,0.7007182670810941,412667,E000295,IA,,b'Ernst'
83,18,82,0.7048065067645805,412244,T000464,MT,,b'Tester'
84,17,83,0.7058728593143929,412490,B001277,CT,,b'Blumenthal'
85,16,84,0.709096364147748,300043,F000062,CA,,b'Feinstein'
86,15,85,0.7124378607252708,300093,S000770,MI,,b'Stabenow'
87,14,86,0.7351036926296096,300027,C001056,TX,,b'Cornyn'
88,13,87,0.748806183040678,412223,G000555,NY,,b'Gillibrand'
89,12,88,0.7534114408549742,400064,C000141,MD,,b'Cardin'
90,11,89,0.7622636543676512,412323,S001181,NH,,b'Shaheen'
91,10,90,0.7719765494442351,300048,G000386,IA,,b'Grassley'
92,9,91,0.7824853815474148,300038,D000563,IL,,b'Durbin'
93,8,92,0.7917370983004449,412598,B001288,NJ,,b'Booker'
94,7,93,0.7989066085174471,456858,W000790,GA,,b'Warnock'
95,6,94,0.8073592261321055,412246,C001070,PA,,b'Casey'
96,5,95,0.8288155955235367,400050,B000944,OH,,b'Brown'
97,4,96,0.8305373659913103,400253,M000133,MA,,b'Markey'
98,3,97,0.845263479385952,412491,R000595,FL,,b'Rubio'
99,2,98,0.9568926285712763,412242,K000367,MN,,b'Klobuchar'
100,1,99,1.0,400272,M000639,NJ,,b'Menendez'
