rank_from_low,rank_from_high,percentile,leadership,id,bioguide_id,state,district,name
68,32,68,0.5896366596075617,400546,T000250,SD,,b'Thune'
69,31,69,0.5898519667220852,412573,C001098,TX,,b'Cruz'
70,30,70,0.6092541405671591,412582,K000384,VA,,b'Kaine'
71,29,71,0.6101220247718502,412269,C001075,LA,,b'Cassidy'
72,28,72,0.6138380649136982,412246,C001070,PA,,b'Casey'
73,27,73,0.6170099022859399,300047,G000359,SC,,b'Graham'
74,26,74,0.6238680250662468,300030,C000880,ID,,b'Crapo'
75,25,75,0.626277980568346,400034,B000575,MO,,b'Blunt'
76,24,76,0.6338553669037476,412496,J000293,WI,,b'Johnson'
77,23,77,0.6402441674109788,400408,T000461,PA,,b'Toomey'
78,22,78,0.6445851056309547,412390,C001088,DE,,b'Coons'
79,21,79,0.6452778669551927,400134,F000444,AZ,,b'Flake'
80,20,80,0.6503223872059448,412507,S001194,HI,,b'Schatz'
81,19,81,0.6537728923551761,400013,B001230,WI,,b'Baldwin'
82,18,82,0.657890137048512,400432,W000437,MS,,b'Wicker'
83,17,83,0.6669458311376656,300100,W000779,OR,,b'Wyden'
84,16,84,0.6771732636574816,400272,M000639,NJ,,b'Menendez'
85,15,85,0.6780219655229137,300072,M000355,KY,,b'McConnell'
86,14,86,0.6928517321445904,400325,P000449,OH,,b'Portman'
87,13,87,0.6941958646053836,300043,F000062,CA,,b'Feinstein'
88,12,88,0.6980247463565123,412244,T000464,MT,,b'Tester'
89,11,89,0.7105437628974265,412242,K000367,MN,,b'Klobuchar'
90,10,90,0.7105696627718887,400194,I000055,GA,,b'Isakson'
91,9,91,0.7133135807473878,412542,W000817,MA,,b'Warren'
92,8,92,0.7275992998250685,300025,C001035,ME,,b'Collins'
93,7,93,0.7369052204628603,400050,B000944,OH,,b'Brown'
94,6,94,0.7636023241808222,412218,H001041,NV,,b'Heller'
95,5,95,0.896197709957123,400064,C000141,MD,,b'Cardin'
96,4,96,0.8989300811643032,412491,R000595,FL,,b'Rubio'
97,3,97,0.9627030062209966,300052,H000338,UT,,b'Hatch'
98,2,98,0.9647392102763792,300048,G000386,IA,,b'Grassley'
99,1,99,1.0,300027,C001056,TX,,b'Cornyn'
