,Senator,Age,Gender,Emotion (Majority),Race (Majority),Valence_m,Normalized_Valence_m,Weighted_Valence_m
20,#tmp#,"[34, 31, 34, 36, 49, 31, 33]","[{'Woman': 3.0569346621632576, 'Man': 96.9430685043335}, {'Woman': 0.0002887580421884195, 'Man': 99.99971389770508}, {'Woman': 3.857890078506898e-05, 'Man': 99.99996423721313}, {'Woman': 99.91872906684875, 'Man': 0.08127297624014318}, {'Woman': 0.011224073386983946, 'Man': 99.98877048492432}, {'Woman': 23.79823327064514, 'Man': 76.20177268981934}, {'Woman': 0.0033799438824644312, 'Man': 99.99661445617676}]",sad,white,-62.00129075724902,11.14773268721556,-22.423193960518194
21,Kirsten E. Gillibrand ,"[41, 25, 30, 32, 32]","[{'Woman': 74.84167218208313, 'Man': 25.158321857452393}, {'Woman': 76.9725501537323, 'Man': 23.027445375919342}, {'Woman': 99.66031312942505, 'Man': 0.3396812127903104}, {'Woman': 99.92879033088684, 'Man': 0.07121700909920037}, {'Woman': 99.93345141410828, 'Man': 0.06654041353613138}]",happy,white,79.96131696488749,83.40811277147871,48.67311256410243
22,Tom Cotton ,"[29, 25, 34, 35, 33, 30, 34]","[{'Woman': 0.008276743756141514, 'Man': 99.99172687530518}, {'Woman': 0.0024908917112043127, 'Man': 99.99750852584839}, {'Woman': 0.08679528837092221, 'Man': 99.91320967674255}, {'Woman': 0.005010032327845693, 'Man': 99.99499320983887}, {'Woman': 0.00014824909158051014, 'Man': 99.99985694885254}, {'Woman': 0.02758040209300816, 'Man': 99.97242093086243}, {'Woman': 0.03366395831108093, 'Man': 99.96633529663086}]",happy,white,20.154084689334987,57.73682616966592,19.684923839930473
23,Debbie Stabenow ,"[26, 44, 55, 31, 41, 58, 53, 39]","[{'Woman': 25.273960828781128, 'Man': 74.72604513168335}, {'Woman': 99.99653100967407, 'Man': 0.00347408713423647}, {'Woman': 99.8247504234314, 'Man': 0.17524624709039927}, {'Woman': 99.97681975364685, 'Man': 0.023176285321824253}, {'Woman': 99.37822222709656, 'Man': 0.6217827089130878}, {'Woman': 99.99932050704956, 'Man': 0.0006737730018357979}, {'Woman': 99.99972581863403, 'Man': 0.0002724505065998528}, {'Woman': 95.1722502708435, 'Man': 4.827742651104927}]",happy,white,27.825371708933226,56.961773844140964,22.581364870856447
24,Marco Rubio ,"[30, 44, 27, 24, 32, 25, 26, 40]","[{'Woman': 0.14529243344441056, 'Man': 99.85470175743103}, {'Woman': 0.7714642211794853, 'Man': 99.22853708267212}, {'Woman': 0.05405736737884581, 'Man': 99.9459445476532}, {'Woman': 0.047312991227954626, 'Man': 99.9526858329773}, {'Woman': 0.23397894110530615, 'Man': 99.76601600646973}, {'Woman': 0.023451607557944953, 'Man': 99.97654557228088}, {'Woman': 0.0556949176825583, 'Man': 99.9442994594574}, {'Woman': 0.17572413198649883, 'Man': 99.8242735862732}]",neutral,latino hispanic,-35.51953054425636,20.992952402320753,-9.89505510502309
25,Benjamin L. Cardin ,"[56, 61, 50, 41, 32, 39, 54, 51]","[{'Woman': 0.18583001801744103, 'Man': 99.81416463851929}, {'Woman': 0.14035545755177736, 'Man': 99.85964894294739}, {'Woman': 0.044231099309399724, 'Man': 99.95576739311218}, {'Woman': 0.05360011709854007, 'Man': 99.94639754295349}, {'Woman': 0.059288006741553545, 'Man': 99.9407172203064}, {'Woman': 0.3295768052339554, 'Man': 99.67042803764343}, {'Woman': 0.035667739575728774, 'Man': 99.9643325805664}, {'Woman': 0.35551367327570915, 'Man': 99.64448809623718}]",happy,asian,13.631545012668006,50.21141406383997,15.568799543191098
26,Tammy Baldwin ,"[37, 42, 46, 31, 34, 33, 45, 24]","[{'Woman': 1.4884148724377155, 'Man': 98.51158261299133}, {'Woman': 21.01111114025116, 'Man': 78.98889780044556}, {'Woman': 1.2912861071527004, 'Man': 98.70871305465698}, {'Woman': 0.6466785911470652, 'Man': 99.35332536697388}, {'Woman': 0.4196770489215851, 'Man': 99.58032965660095}, {'Woman': 15.15616774559021, 'Man': 84.84383225440979}, {'Woman': 95.23895382881165, 'Man': 4.761043936014175}, {'Woman': 12.210623919963837, 'Man': 87.78938055038452}]",happy,white,5.606167500623904,41.61714964262443,10.638646387647176
27,Jerry Moran ,"[35, 46, 26, 33, 40, 38, 41]","[{'Woman': 0.15065696788951755, 'Man': 99.84934329986572}, {'Woman': 0.3245337400585413, 'Man': 99.67547059059143}, {'Woman': 35.645732283592224, 'Man': 64.35426473617554}, {'Woman': 0.08955213124863803, 'Man': 99.91044402122498}, {'Woman': 0.2095635747537017, 'Man': 99.79044198989868}, {'Woman': 0.14921125257387757, 'Man': 99.85079169273376}, {'Woman': 0.22783027961850166, 'Man': 99.77217316627502}]",happy,white,27.858211557988927,56.88914336491862,22.579761643264
28,Martin Heinrich ,"[45, 27, 28, 34, 35, 30, 41, 29, 39]","[{'Woman': 0.000654705218039453, 'Man': 99.99934434890747}, {'Woman': 0.005271814006846398, 'Man': 99.99473094940186}, {'Woman': 0.008580479334341362, 'Man': 99.99141693115234}, {'Woman': 0.00017978245523408987, 'Man': 99.99982118606567}, {'Woman': 13.186854124069214, 'Man': 86.81315183639526}, {'Woman': 2.5070935487747192, 'Man': 97.49290347099304}, {'Woman': 0.012855582463089377, 'Man': 99.98713731765747}, {'Woman': 0.010114150063600391, 'Man': 99.98987913131714}, {'Woman': 0.0644450425170362, 'Man': 99.93554949760437}]",neutral,white,-35.51522154568252,10.083585038231266,-12.09725280944713
29,Bill Nelson ,"[35, 41, 42, 51, 37, 41, 32]","[{'Woman': 27.991914749145508, 'Man': 72.00808525085449}, {'Woman': 0.006097447476349771, 'Man': 99.993896484375}, {'Woman': 0.9000277146697044, 'Man': 99.09997582435608}, {'Woman': 0.13822793262079358, 'Man': 99.86177682876587}, {'Woman': 0.10626075090840459, 'Man': 99.89374279975891}, {'Woman': 0.8178838528692722, 'Man': 99.18211698532104}, {'Woman': 0.1771593582816422, 'Man': 99.8228371143341}]",happy,white,4.906353273935805,44.35860236450329,10.913963295789257
